USDAInspectionNumber,StoredCropID,PlantedCropID,StorageBinID,isEstimated,PercentOfHarvestedYield,PercentBruiseFree,PercentSixOz,PercentSoftRot,PercentTenOz,PercentUndersize,PercentUnusable,PercentUSDA1,SpecificGravity,PercentHollow,PercentInternalDiscolored,PercentMechanicalDamaged,PercentPinkEye,PercentPitScab
4736,20453975-A8A3-494F-A5B4-682F138F2E95,53915A71-A607-42D8-BEC0-5A4B458C772C,F06697E3-F6C1-41B9-BE11-F3ABF450DBF8,0,0.168099493,0.772,0.534,0.033,0.162,0.043,0.107,0.728,1.0822,0.048,0,0.011,0.007,0
4737,45899875-A545-4D2F-A04E-122C454B3C04,DF5AC926-F69B-4FBD-9DC9-2E97CE300BEF,7F20DBB5-6DF0-43EF-A1EF-7F866C64E166,0,0.199530523,0.751,0.634,0.043,0.329,0.023,0.151,0.641,1.081,0.068,0,0.026,0.006,0
4738,A94B8694-8BBD-46BC-BECD-8DE5A571AAA8,BF5B7453-D974-4864-AB5D-B49128C2098B,ED19D11D-62B6-48B4-9A0F-7C21A91B45D8,0,0.605892787,0.842,0.49,0.007,0.123,0.046,0.031,0.87,1.0833,0.007,0,0.001,0.008,0.001
4739,238BEBEB-9C23-485C-BE56-79F643C8F1BE,EE3F34D4-28EF-4B86-ACAB-D5FFC5A07028,00C6123F-413E-4BDB-9E83-8DE289DD0F8E,0,0.299016749,0.68,0.648,0.043,0.318,0.018,0.15,0.77,1.0844,0.077,0,0.003,0.017,0
4740,3A6268D5-FAA8-4DEA-8458-42F7266DEA16,E4E88B83-95D4-4E47-B7E4-1E94060DA50A,7AB433AC-A76D-4162-BCE7-AD20723AE24C,0,0.465980134,0.844,0.632,0.018,0.304,0.014,0.16,0.748,1.0844,0.061,0,0.001,0.064,0
4741,BC617B5E-FC27-4A4F-B78E-100BFFBEBF09,6F92D424-4C2C-45E5-BFDF-08525AC12365,DC101218-7A6A-416E-A880-4837DE382B2F,0,0.813203182,0.787,0.718,0.036,0.464,0.005,0.162,0.74,1.0751,0.086,0,0.007,0.019,0
4742,CA7F8CEB-F26D-46D9-BD9B-1C63D5F0B665,919617AB-1B2B-434D-85B9-9634D6B634AA,2534CBD7-4F2B-4B48-BD85-D72F0931C79F,0,0.265523874,0.77,0.633,0.083,0.246,0.007,0.148,0.761,1.0797,0.016,0,0.001,0.033,0
4743,F0C7B58A-4704-4DF0-8618-A37CF2259DEF,A537AF38-0843-4254-ACC0-2B0206B1D408,0F39D7C8-D425-4BEF-8BE2-28D76F6826D8,0,0.18661334,0.813,0.578,0.013,0.201,0.009,0.185,0.76,1.0778,0.134,0,0,0.032,0
4744,BC617B5E-FC27-4A4F-B78E-100BFFBEBF09,6F92D424-4C2C-45E5-BFDF-08525AC12365,DC101218-7A6A-416E-A880-4837DE382B2F,0,0.154881185,0.714,0.777,0.036,0.52,0.004,0.123,0.799,1.077,0.049,0,0.002,0.026,0
4745,2647989F-D8C0-440C-8F1A-5184D94DEE2A,82CDDB6E-48A3-4B70-ABCC-2F38A4924D94,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.592819101,0.73,0.478,0.03,0.172,0.009,0.373,0.555,1.0802,0.322,0,0,0.009,0
4746,A44044FE-03C6-4BF0-BBEB-A9F57FE16315,ECF0EC35-65AB-4682-94C0-A9C21DB6B66C,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.456619272,0.726,0.362,0.084,0.143,0.011,0.498,0.383,1.076,0.349,0.001,0.003,0.035,0.004
4747,03A35B83-080C-4BBB-BC20-B6214AB443B0,936790CF-5F1A-4C67-992F-8FAFCA4B60ED,DC101218-7A6A-416E-A880-4837DE382B2F,0,0.523331258,0.687,0.75,0.042,0.491,0.008,0.124,0.744,1.0771,0.011,0,0.01,0.041,0.002
4748,F0C7B58A-4704-4DF0-8618-A37CF2259DEF,A537AF38-0843-4254-ACC0-2B0206B1D408,0F39D7C8-D425-4BEF-8BE2-28D76F6826D8,0,0.181173577,0.884,0.617,0.011,0.212,0.008,0.175,0.771,1.0727,0.129,0,0.001,0.029,0
4727,5D2095A5-4736-4437-88FA-DD729F050609,BCE6A54B-F24A-4DEF-8085-48D4ADFFEAAA,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.012228847,0.761,0.726,0.003,0.337,0.016,0.063,0.894,1.0827,0.048,0,0,0.008,0
4728,503F6C6D-D129-42B0-A395-20A172B46ADE,5AD1263F-BF99-4C93-834F-182879BD83EB,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.006497102,0.761,0.539,0.006,0.128,0.015,0.231,0.76,1.0892,0.213,0,0,0.006,0
4723001,7F992367-FACD-402D-BBB1-B7A852EAB5F6,24ACB4E7-3FA5-4506-9C22-4F2E8EB96C48,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.897976361,0.724,0.674,0.068,0.309,0.014,0.164,0.64,1.0939,0.063,0,0.002,0.003,0
4723002,7F992367-FACD-402D-BBB1-B7A852EAB5F6,24ACB4E7-3FA5-4506-9C22-4F2E8EB96C48,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.102023639,0.724,0.674,0.068,0.309,0.014,0.164,0.64,1.0939,0.063,0,0.002,0.003,0
4704001,D8F9DE55-0309-4794-8C9F-1ADA752AB64D,C0AE9CDE-7EF6-4090-94DF-1230C45DD289,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.223890093,0.724,0.549,0.023,0.186,0.023,0.187,0.657,1.0844,0.118,0,0.002,0.017,0
4772001,4190F3B9-E758-4545-B2FC-2404E6175E33,E9B3B278-A309-4422-BA79-420A31E99998,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.455738142,0.75,0.585,0.03,0.35,0.004,0.319,0.611,1.0784,0.274,0,0,0.004,0
4772002,4190F3B9-E758-4545-B2FC-2404E6175E33,E9B3B278-A309-4422-BA79-420A31E99998,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.054915551,0.75,0.585,0.03,0.35,0.004,0.319,0.611,1.0784,0.274,0,0,0.004,0
